source_file,abspath,sha256,size_bytes,mtime,experiment,condition,requested_offset_deg,mesh_N,muscle_cols,q_cols,return_status,strict,success,iter_count,final_inf_pr,final_inf_du,final_obj,td_tilt_deg_signed,anterior_tilt_deg,achieved_offset_vs_nomN_deg,mean_tilt_deg,speed_mps,speed_error_pct_vs_nomN,totalTime_s,t0_s,tE_s,warm_start_source,error
pred_sprinting_data_16-August-2026__08-45-23___HamCompEQ_w0100.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__08-45-23___HamCompEQ_w0100.mat,e76821bc64d11ed4d839a8d989ffe8cc1d4c2f673c5d803039f496cf02c143b9,4615053,2026-08-16T08:45:23,HamCompEQ,HamCompEQ_w0100,nan,50,151,200,Solve_Succeeded,True,True,700,6.0872920100673545e-09,3.1444789739004286e-06,-116.31363663206302,-3.561,3.561,4.3433,-3.195,11.737918,-0.9509,0.210429,0.056,0.26643,see_logs,
pred_sprinting_data_16-August-2026__10-00-48___HamCompEQ_w0500.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__10-00-48___HamCompEQ_w0500.mat,debb86aaf28c6a14ea5b5faa4b3a78161d52e85bfbb1e0c0eee11e43737bddd5,4664451,2026-08-16T10:00:48,HamCompEQ,HamCompEQ_w0500,nan,50,151,200,Solve_Succeeded,True,True,1655,1.7934468049540797e-08,8.28561705184368e-06,-114.4652996696741,3.3271,-3.3271,11.2314,3.9727,11.558074,-2.4685,0.213703,0.056,0.2697,see_logs,
pred_sprinting_data_16-August-2026__10-50-11___HamCompEQ_w2000.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__10-50-11___HamCompEQ_w2000.mat,3548707bf1f02bd74ad641e3a0e67604fa6b6f7585571eb08264831d5570c9c4,4645799,2026-08-16T10:50:12,HamCompEQ,HamCompEQ_w2000,nan,50,151,200,Solve_Succeeded,True,True,1167,2.9440040461015116e-08,9.935351011521484e-06,-113.04973740662568,4.0956,-4.0956,11.9999,4.4283,11.448087,-3.3966,0.215757,0.056,0.27176,see_logs,
pred_sprinting_data_15-August-2026__20-35-47___HamEcc_w0000.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__20-35-47___HamEcc_w0000.mat,42162380e0ea03dc0357fdec8b151a8005f7b8f0a7d18e526d2e45101ce8a24e,4620528,2026-08-15T20:35:47,HamEcc,HamEcc_w0000,nan,50,151,200,Solve_Succeeded,True,True,743,1.1721045942499576e-08,1.8667476516480277e-06,-117.62958602236814,-7.6859,7.6859,0.2184,-7.6394,11.773369,-0.6517,0.209796,0.056,0.2658,see_logs,
pred_sprinting_data_15-August-2026__21-05-50___HamEcc_w0100.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__21-05-50___HamEcc_w0100.mat,bab3fe14acb1f1453d6540dac1aaacc07efdd881479aec41c1e1d96eef8f61d3,4611585,2026-08-15T21:05:50,HamEcc,HamEcc_w0100,nan,50,151,200,Solve_Succeeded,True,True,646,1.1823423556243435e-08,7.886137568347363e-07,-117.21850766706198,-7.2858,7.2858,0.6185,-7.2485,11.770087,-0.6794,0.209854,0.056,0.26585,see_logs,
pred_sprinting_data_15-August-2026__21-52-25___HamEcc_w0500.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__21-52-25___HamEcc_w0500.mat,2256ce62269442302450fbd62aa0bfc64b547ca209ff45684f200636a1409bad,4620391,2026-08-15T21:52:25,HamEcc,HamEcc_w0500,nan,50,151,200,Solve_Succeeded,True,True,829,5.088670643338281e-09,2.115201715772621e-06,-116.36812192596527,-6.932,6.932,0.9723,-6.8094,11.704069,-1.2365,0.211038,0.056,0.26704,see_logs,
pred_sprinting_data_15-August-2026__23-50-54___HamEcc_w2000.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__23-50-54___HamEcc_w2000.mat,a4b27db00c5c58d6b6aa43b10fefdea8f3fe02e5f8957732a3ff90f3a668bbd7,4659271,2026-08-15T23:50:54,HamEcc,HamEcc_w2000,nan,50,151,200,Solve_Succeeded,True,True,1562,1.5938095371259564e-08,8.58913676885812e-06,-115.42073000207748,-6.1821,6.1821,1.7222,-5.3177,11.645283,-1.7326,0.212103,0.056,0.2681,see_logs,
pred_sprinting_data_16-August-2026__02-16-25___HamEcc_w8000.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__02-16-25___HamEcc_w8000.mat,3d48e140972fd9dc8a4b5a49688f7f0e8459e8d9aeff89f3c534213b1251953f,4651642,2026-08-16T02:16:25,HamEcc,HamEcc_w8000,nan,50,151,200,Solve_Succeeded,True,True,1692,1.239339611447506e-10,6.075904340887543e-06,-113.11275415278683,-7.4777,7.4777,0.4266,-5.7277,11.552581,-2.5148,0.213805,0.056,0.26981,see_logs,
pred_sprinting_data_23-July-2026__16-59-51___HamPareto_Nom_w0000.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__16-59-51___HamPareto_Nom_w0000.mat,ae626f3e381a425f1e8a7c538b799c3e78948cac84c8d84d376736383e6e93f2,4596473,2026-07-23T16:59:51,HamPareto,HamPareto_Nom_w0000,nan,50,151,200,Solve_Succeeded,True,True,46,3.831047908284702e-08,1.5842803683924058e-06,-117.66956919690033,-7.4622,7.4622,0.4421,-7.2641,11.777385,-0.6179,0.209724,0.056,0.26572,see_logs,
pred_sprinting_data_15-August-2026__19-53-23___HamPareto_Nom_w0000.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_15-August-2026__19-53-23___HamPareto_Nom_w0000.mat,e99ad0277a1518aa9fa53f6dc476640ca4ec0bd8decd3abe299347b56fffd7f3,9143325,2026-08-15T19:53:23,HamPareto,HamPareto_Nom_w0000,nan,100,301,400,Solve_Succeeded,True,True,153,1.435857892109233e-08,6.169484592921184e-07,-118.24501585372938,-7.9871,7.9871,-0.0001,-7.465,11.834599,0.0003,0.20871,0.056,0.26471,see_logs,
