offset,source_file,sha256_16,solver_status,final_inf_pr,mesh_N,td_tilt_signed_deg,anterior_tilt_deg,speed_mps,contact_s,peakVGRF_BW,muscle,is_biarticular,peak_lMtilde,tPeak_pct_stride,peak_lMtilde_R,peak_lMtilde_L,bimean_peak_lMtilde,seam_gap_lMtilde,TS_peak_lMtilde
p6,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,c989678c46718893,Solve_Succeeded,6.543e-09,100,-1.987,1.987,11.788504,0.07366,5.904,semimem,True,0.97302,88.00,0.89644,0.97302,0.93473,2.33e-15,0.97302
p6,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,c989678c46718893,Solve_Succeeded,6.543e-09,100,-1.987,1.987,11.788504,0.07366,5.904,semiten,True,1.12863,85.50,1.05677,1.12863,1.09270,4.44e-16,1.12863
p6,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,c989678c46718893,Solve_Succeeded,6.543e-09,100,-1.987,1.987,11.788504,0.07366,5.904,bifemlh,True,1.03778,86.00,0.93480,1.03778,0.98629,5.61e-15,1.03778
p6,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,c989678c46718893,Solve_Succeeded,6.543e-09,100,-1.987,1.987,11.788504,0.07366,5.904,bifemsh,False,0.94478,2.82,0.94478,0.93984,0.94231,9.99e-16,0.93984
p4,pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,7192ae517c78d5f2,Solve_Succeeded,2.280e-08,100,-3.987,3.987,11.761059,0.07276,5.92,semimem,True,0.98379,88.32,0.91452,0.98379,0.94915,0.00e+00,0.98379
p4,pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,7192ae517c78d5f2,Solve_Succeeded,2.280e-08,100,-3.987,3.987,11.761059,0.07276,5.92,semiten,True,1.13557,85.82,1.06832,1.13557,1.10195,0.00e+00,1.13557
p4,pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,7192ae517c78d5f2,Solve_Succeeded,2.280e-08,100,-3.987,3.987,11.761059,0.07276,5.92,bifemlh,True,1.04652,86.32,0.95057,1.04652,0.99854,0.00e+00,1.04652
p4,pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,7192ae517c78d5f2,Solve_Succeeded,2.280e-08,100,-3.987,3.987,11.761059,0.07276,5.92,bifemsh,False,0.94481,2.82,0.94481,0.94004,0.94243,0.00e+00,0.94004
p2,pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,ddd171919a408440,Solve_Succeeded,5.738e-08,100,-5.987,5.987,11.787288,0.07367,5.824,semimem,True,0.98552,89.32,0.92600,0.98552,0.95576,0.00e+00,0.98552
p2,pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,ddd171919a408440,Solve_Succeeded,5.738e-08,100,-5.987,5.987,11.787288,0.07367,5.824,semiten,True,1.13550,86.58,1.07531,1.13550,1.10541,0.00e+00,1.13550
p2,pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,ddd171919a408440,Solve_Succeeded,5.738e-08,100,-5.987,5.987,11.787288,0.07367,5.824,bifemlh,True,1.04609,87.32,0.96186,1.04609,1.00398,0.00e+00,1.04609
p2,pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,ddd171919a408440,Solve_Succeeded,5.738e-08,100,-5.987,5.987,11.787288,0.07367,5.824,bifemsh,False,0.94368,2.58,0.94368,0.93960,0.94164,0.00e+00,0.93960
