offset,anterior_tilt_deg,speed_mps,muscle,is_biarticular,peak_active_force_N,peak_passive_force_N,peak_tendon_force_N,peak_Fpetilde,peak_leng_vel_mps,peak_act_ecc_power_W,neg_fiber_work_J,TS_neg_fiber_work_J,peak_MTU_len_m,MTU_excursion_m
p6,1.987,11.788504,semimem,True,3099.5,39.9,3012.8,0.0155,1.1285,853.8,28.5127,13.7019,0.49003,0.08691
p6,1.987,11.788504,semiten,True,816.2,36.0,845.7,0.0439,1.4245,414.1,12.0371,3.1691,0.53391,0.10895
p6,1.987,11.788504,bifemlh,True,2302.1,42.8,2333.0,0.0239,1.1569,1116.4,32.7077,5.9528,0.49448,0.08799
p6,1.987,11.788504,bifemsh,False,1719.1,20.6,1575.6,0.0128,0.8007,319.6,32.4893,19.7623,0.25799,0.07679
p4,3.987,11.761059,semimem,True,3146.1,42.9,3058.6,0.0167,1.1575,992.6,33.5017,14.2266,0.49105,0.08792
p4,3.987,11.761059,semiten,True,815.1,37.7,846.0,0.0460,1.4491,434.7,12.6062,3.0955,0.53539,0.11046
p4,3.987,11.761059,bifemlh,True,2319.5,45.4,2351.7,0.0254,1.2202,1182.7,34.7042,5.6430,0.49546,0.08902
p4,3.987,11.761059,bifemsh,False,1704.9,20.6,1562.9,0.0128,0.8168,283.1,30.3034,17.7834,0.25797,0.07669
p2,5.987,11.787288,semimem,True,3139.6,43.4,3055.2,0.0169,1.1100,896.0,30.9587,17.6645,0.49123,0.08764
p2,5.987,11.787288,semiten,True,815.6,37.7,846.6,0.0460,1.4235,429.3,12.6660,4.3997,0.53538,0.11013
p2,5.987,11.787288,bifemlh,True,2313.7,45.3,2345.8,0.0253,1.1756,1156.1,33.8523,8.3128,0.49543,0.08848
p2,5.987,11.787288,bifemsh,False,1705.9,20.5,1564.8,0.0127,0.8218,317.9,30.4635,18.9360,0.25786,0.07740
p0,7.987,11.792386,semimem,True,3139.0,46.8,3061.1,0.0182,1.1336,837.0,28.7979,18.8684,0.49227,0.08776
p0,7.987,11.792386,semiten,True,809.3,39.3,841.6,0.0479,1.4097,428.2,12.7359,5.1417,0.53668,0.11037
p0,7.987,11.792386,bifemlh,True,2322.6,47.9,2356.3,0.0267,1.1585,1166.9,33.9999,9.8859,0.49640,0.08853
p0,7.987,11.792386,bifemsh,False,1691.2,20.4,1551.7,0.0127,0.8369,329.4,29.4944,18.5816,0.25776,0.07746
m2,9.987,11.797841,semimem,True,3208.3,53.6,3134.4,0.0208,1.1425,955.2,32.7624,20.4206,0.49418,0.08869
m2,9.987,11.797841,semiten,True,807.5,42.4,842.1,0.0517,1.2558,453.4,13.7320,5.2809,0.53908,0.11164
m2,9.987,11.797841,bifemlh,True,2304.2,53.9,2342.0,0.0301,1.1741,1160.8,33.6179,10.0015,0.49843,0.08937
m2,9.987,11.797841,bifemsh,False,1688.5,20.3,1549.4,0.0126,0.8478,305.9,28.7428,17.6106,0.25776,0.07720
m4,11.987,11.796764,semimem,True,3221.2,57.7,3152.3,0.0224,1.1620,935.3,32.1399,23.1163,0.49517,0.08872
m4,11.987,11.796764,semiten,True,800.5,44.1,836.6,0.0538,1.4299,441.5,13.5344,6.3966,0.54033,0.11183
m4,11.987,11.796764,bifemlh,True,2320.5,57.0,2359.3,0.0318,1.1564,1193.5,35.0947,12.8295,0.49939,0.08931
m4,11.987,11.796764,bifemsh,False,1682.3,20.3,1543.9,0.0126,0.8564,322.0,28.8009,17.9280,0.25772,0.07747
m6,13.987,11.765964,semimem,True,3271.4,66.8,3207.4,0.0259,1.1829,1049.8,35.0244,24.0211,0.49712,0.08995
m6,13.987,11.765964,semiten,True,793.1,47.9,831.8,0.0584,1.4640,456.6,14.1622,6.2083,0.54289,0.11349
m6,13.987,11.765964,bifemlh,True,2305.7,64.4,2349.1,0.0359,1.1885,1203.7,35.7952,12.6552,0.50144,0.09040
m6,13.987,11.765964,bifemsh,False,1672.7,20.2,1535.6,0.0125,0.8640,310.3,27.6849,16.8144,0.25764,0.07708
m8,15.987,11.746657,semimem,True,3311.8,75.2,3253.1,0.0292,1.2006,1136.5,37.9708,28.4997,0.49869,0.09064
m8,15.987,11.746657,semiten,True,789.8,51.1,830.5,0.0623,1.4809,480.3,14.9926,7.6573,0.54496,0.11463
m8,15.987,11.746657,bifemlh,True,2320.3,70.6,2366.0,0.0394,1.1792,1265.2,38.0339,15.8209,0.50302,0.09101
m8,15.987,11.746657,bifemsh,False,1683.0,20.2,1544.6,0.0126,0.8696,319.4,28.2925,17.7131,0.25770,0.07762
