role,file,sha256,size_bytes,mtime
adopted_source_primary_N100,pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat,094aec7bb697e0b6b47d501812ea689f649875e0810590a77ec053e57a6675d2,9169607,2026-06-24T23:17:49
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat,98ef566bc467e57c9cf9b8a9cf9e558377a8746e056c05b57f0049125033dc30,9149836,2026-06-25T00:01:41
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,f279404da2b85bac23100d5f28c57306e233d679cc998aac4aa92379498a11a6,9157553,2026-06-25T01:05:16
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,b06776c23ff87c20dee08c2e9e821899db45f04e09f6c81c687c0eecdb412d38,9158046,2026-06-25T02:31:10
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,e867eb10b0fb5dfb43e5a27c4181acbd0c4698c07e761ca7ec3b257ab0ced8c6,9155771,2026-06-25T03:15:59
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,ddd171919a40844047b31959d088ca4f1f083cb4f15110ed5b0330ef0a4030ed,9180632,2026-06-25T04:33:19
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,7192ae517c78d5f2b7da4ac3330598768bbd8921461fd434b8d49d197fb9420b,9186560,2026-06-25T05:43:11
adopted_source_primary_N100,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,c989678c467188931b0b3fe9db116f437134359eb141f2023d3a1f92029e7f10,9182097,2026-06-25T07:24:06
adopted_source_nominal_N100,pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat,c75590b503864a82223da7304be944b2ae9b3bad1c61b1309a5b43c45c58738b,9165068,2026-04-10T16:29:40
adopted_source_pareto_checkpoint,pred_sprinting_data_15-August-2026__19-53-23___HamPareto_Nom_w0000.mat,e99ad0277a1518aa9fa53f6dc476640ca4ec0bd8decd3abe299347b56fffd7f3,9143325,2026-08-15T19:53:23
adopted_source_pareto_checkpoint,pred_sprinting_data_15-August-2026__21-57-37___HamPareto_Nom_w0050.mat,9599cb7ae652c21c385468cfc1f9dac91e8191e1fd0f88d7bca27c2e4c8b8190,9163064,2026-08-15T21:57:37
adopted_source_pareto_checkpoint,pred_sprinting_data_15-August-2026__23-30-42___HamPareto_Nom_w0100.mat,afdb9a0e8f49daa8100ca1e1c234dd3dae57e01222eee4d94315c53005150751,9163159,2026-08-15T23:30:42
adopted_source_pareto_checkpoint,pred_sprinting_data_16-August-2026__02-26-49___HamPareto_Nom_w0200.mat,d8d44a01d78cb8f9c0186a1ac7857aed20e15287d39063b40b2bf98b46b06a22,9183525,2026-08-16T02:26:49
adopted_source_pareto_checkpoint,pred_sprinting_data_16-August-2026__03-57-45___HamPareto_Nom_w0100.mat,f1abb14c428edb0a0682afb4738876ba2ba81d86c126f631c154bbea8afcb454,9168348,2026-08-16T03:57:45
adopted_source_pareto_checkpoint,pred_sprinting_data_16-August-2026__05-49-46___HamPareto_Nom_w0200.mat,ed0735a300562dd5221fdd134e9ba54720d9559ecd4262251154718f28d5f9cb,9182882,2026-08-16T05:49:46
adopted_source_pareto_checkpoint,pred_sprinting_data_16-August-2026__07-39-58___HamPareto_Nom_w0100.mat,d98ac73fa1ff686a7778ee5dec2e46a5a155900a954c299eed3b82574c0e2080,9159848,2026-08-16T07:39:59
adopted_source_boundary_mot,pred_sprinting_coords_10-April-2026__16-29-40___Nominal.mot,9426557028428809b229cbf7a85124fd23018ea8824eb7c0f5367740b5f94a0a,321264,2026-04-10T16:29:40
adopted_source_boundary_mot,pred_sprinting_coords_24-June-2026__23-17-49___PelvisTDwide_m8.mot,f665a1bd6b9ee58b4977930de82e06f8a85656a1bec3aee00f828586c84d152a,321271,2026-06-24T23:17:49
derived_audit_table,Independent_Audit_20260819\boundary_phase_corrected.csv,d10bb24742f75082abe453b3503f7cb2923bc9f983496486c217310c9030cf94,392,2026-08-19T16:08:45
derived_audit_table,Independent_Audit_20260819\boundary_phase_corrected_opensim.csv,e005c4db9de481e0a9d4e8b731c8609e9690fe1b0afd19f469e2f646ac3fb6d0,304,2026-08-19T16:11:43
derived_audit_table,Independent_Audit_20260819\final_source_manifest.csv,954b7ce36faef07a389796a2053a41102ee5b014831e357859ab4cfdbcb5e83a,50436,2026-08-19T15:52:22
derived_audit_table,Independent_Audit_20260819\pareto_checkpoint_audit.csv,7451c352ceecd1ecbf14fe57825fb22e5c5af6a0cbc3a20d357002c2a585c2d7,2366,2026-08-19T16:03:46
derived_audit_table,Independent_Audit_20260819\raw_mat_recalculated_primary_N100.csv,4318229741670f6415584d0e61a4c3536302bce224a49bbfa1ac95fc1cbab91e,7348,2026-08-19T15:56:13
derived_audit_table,Independent_Audit_20260819\raw_mat_recalculated_secondary_N100.csv,37ac6d1c775d63c996f32bd03d4fd5a5169edefc7c3f404a4a1368292d9881e2,3570,2026-08-19T15:56:13
derived_audit_table,Independent_Audit_20260819\regression_summary_N100.csv,495ddabfc11f51bc08c288aadbd993429ee430ad370dd5a9429fd3cf8de6fd8e,640,2026-08-19T15:56:13
