metric,muscle,slope_per_deg,intercept,R2,pearson_r
peakLM,semimem,-0.006912,0.960577,0.991677,-0.99583
peakLM,semiten,-0.00398916,1.10838,0.989666,-0.99482
peakLM,bifemlh,-0.00560024,1.00888,0.981259,-0.990585
peakLM,bifemsh,0.000243339,0.941357,0.883742,0.940076
peakFpe,semimem,-0.00066303,0.0146872,0.982814,-0.99137
peakFpe,semiten,-0.00101495,0.0391416,0.987192,-0.993576
peakFpe,bifemlh,-0.000724211,0.0204694,0.97788,-0.988878
peakFpe,bifemsh,2.05343e-05,0.0125317,0.883737,0.940073
peakEccLoad,semimem,0.00554691,1.03532,0.113607,0.337057
peakEccLoad,semiten,0.00433297,0.387063,0.235704,0.485494
peakEccLoad,bifemlh,0.0117375,0.729433,0.387957,0.622862
peakEccLoad,bifemsh,0.00202234,0.297629,0.412157,0.641994
peakComp,semimem,-1.15404,351.218,0.04617,-0.214872
peakComp,semiten,2.02665,72.7812,0.30028,0.547978
peakComp,bifemlh,8.15995,345.152,0.495079,0.703618
peakComp,bifemsh,1.69736,119.119,0.512316,0.715763
eccWork,semimem,-0.191218,11.7941,0.500488,-0.707452
eccWork,semiten,0.00847782,2.06943,0.029812,0.172662
eccWork,bifemlh,0.207875,10.4448,0.486363,0.697398
eccWork,bifemsh,-0.0623788,7.89667,0.496304,-0.704488
peakLMT,semimem,-0.000670946,0.486144,0.987346,-0.993653
peakLMT,semiten,-0.000825147,0.528433,0.983968,-0.991951
peakLMT,bifemlh,-0.00067094,0.48841,0.9746,-0.987218
peakLMT,bifemsh,1.17756e-05,0.257698,0.593352,0.770294
LMTexc,semimem,-0.000229623,0.0800621,0.625874,-0.791122
LMTexc,semiten,-0.000356639,0.10156,0.72053,-0.84884
LMTexc,bifemlh,-0.000127557,0.0782161,0.249217,-0.499216
LMTexc,bifemsh,8.85272e-05,0.072985,0.5036,0.709647
speed,whole-body,0.109675,11.4357,0.653379,0.808319
effort,whole-body,0.189327,28.7048,0.604171,0.777284
hipR_TD,whole-body,-0.852578,32.56,0.988126,-0.994046
hipR_peak,whole-body,-0.852578,32.56,0.988126,-0.994046
