group,muscle_or_key,quantity,recomputed,expected_brief,abs_diff,rel_diff_pct,verdict,source_formula
operability,achieved_anterior_tilt_min_deg,-,1.987,1.987,+0.0000,+0.000,match,"raw MAT q[0,0] -> -deg"
operability,achieved_anterior_tilt_max_deg,-,15.987,15.987,+0.0000,+0.000,match,"raw MAT q[0,0] -> -deg"
operability,achieved_speed_min_mps,-,11.7467,11.7467,-0.00004,-0.0004,match,raw MAT ave_speed
operability,achieved_speed_max_mps,-,11.7978,11.7978,+0.00004,+0.0003,match,raw MAT ave_speed
dose_slope,semimem,raw_slope_per_deg,0.006785,0.00678,+0.000005,+0.070,match,lstsq peak_lMtilde vs A
dose_speed_adj,semimem,speed_adj_coef_per_deg,0.006402,0.00640,+0.000002,+0.027,match,multiple reg peak~A+speed
dose_R2,semimem,R2,0.9614,0.950-0.961,in-band,-,match,lstsq R2
dose_pct,semimem,pct_change_min_to_max,+9.72,4.65..9.72,in-band,-,match,100*(y_max-y_min)/y_min
peak_timing,semimem,tPeak_pct_stride_range,88.0-90.8,85.5-90.8,in-band,-,match,argmax over full stride
dose_slope,semiten,raw_slope_per_deg,0.003741,0.00374,+0.000001,+0.020,match,lstsq peak_lMtilde vs A
dose_speed_adj,semiten,speed_adj_coef_per_deg,0.003509,0.00351,-0.000001,-0.021,match,multiple reg peak~A+speed
dose_R2,semiten,R2,0.9573,0.950-0.961,in-band,-,match,lstsq R2
dose_pct,semiten,pct_change_min_to_max,+4.65,4.65..9.72,in-band,-,match,100*(y_max-y_min)/y_min
peak_timing,semiten,tPeak_pct_stride_range,85.5-88.3,85.5-90.8,in-band,-,match,argmax over full stride
dose_slope,bifemlh,raw_slope_per_deg,0.005379,0.00538,-0.000001,-0.015,match,lstsq peak_lMtilde vs A
dose_speed_adj,bifemlh,speed_adj_coef_per_deg,0.005037,0.00504,-0.000003,-0.055,match,multiple reg peak~A+speed
dose_R2,bifemlh,R2,0.9498,0.950-0.961,in-band,-,match,lstsq R2
dose_pct,bifemlh,pct_change_min_to_max,+7.19,4.65..9.72,in-band,-,match,100*(y_max-y_min)/y_min
peak_timing,bifemlh,tPeak_pct_stride_range,86.0-89.1,85.5-90.8,in-band,-,match,argmax over full stride
dose_slope,bifemsh,raw_slope_per_deg,-0.000254,-0.00027(brief),+0.000016,-,note,raw=-0.000254; brief -0.00027 ~ speed-adj -0.000272
dose_speed_adj,bifemsh,speed_adj_coef_per_deg,-0.000272,-0.00027,-0.000002,-0.78,match,multiple reg peak~A+speed
dose_pct,bifemsh,endpoint_change_pct,-0.32,-0.32,+0.001,-,match,100*(y_max-y_min)/y_min
boundary_ratio,semimem_l,femur_fixed_over_adaptive_pct,92.1,89.6-95.8,in-band,-,match,OpenSim4.4 phase-norm TS peak dMTU (audit_boundary_opensim.py)
boundary_ratio,semiten_l,femur_fixed_over_adaptive_pct,89.6,89.6-95.8,in-band,-,match,OpenSim4.4 phase-norm TS peak dMTU (audit_boundary_opensim.py)
boundary_ratio,bifemlh_l,femur_fixed_over_adaptive_pct,95.8,89.6-95.8,in-band,-,match,OpenSim4.4 phase-norm TS peak dMTU (audit_boundary_opensim.py)
pareto,w0.1_3path,mean_dSpeed_pct,-0.3401,-0.340,-0.0001,-0.03,match,recompute speed from 3 w=0.1 MAT vs w=0 MAT
pareto,w0.1_3path,mean_dSurrogate_pct,-5.1889,-5.189,+0.0001,+0.00,match,recompute TS-peak biartic mean from MAT
