record_type,offset,anterior_tilt_deg,speed_mps,solver_status,muscle,is_biarticular,peak_lMtilde,note
point,p6,1.9870,11.788504,Solve_Succeeded,semimem,True,0.97302,
point,p6,1.9870,11.788504,Solve_Succeeded,semiten,True,1.12863,
point,p6,1.9870,11.788504,Solve_Succeeded,bifemlh,True,1.03778,
point,p6,1.9870,11.788504,Solve_Succeeded,bifemsh,False,0.94478,
point,p4,3.9870,11.761059,Solve_Succeeded,semimem,True,0.98379,
point,p4,3.9870,11.761059,Solve_Succeeded,semiten,True,1.13557,
point,p4,3.9870,11.761059,Solve_Succeeded,bifemlh,True,1.04652,
point,p4,3.9870,11.761059,Solve_Succeeded,bifemsh,False,0.94481,
point,p2,5.9870,11.787288,Solve_Succeeded,semimem,True,0.98552,
point,p2,5.9870,11.787288,Solve_Succeeded,semiten,True,1.13550,
point,p2,5.9870,11.787288,Solve_Succeeded,bifemlh,True,1.04609,
point,p2,5.9870,11.787288,Solve_Succeeded,bifemsh,False,0.94368,
point,p0,7.9870,11.792386,Solve_Succeeded,semimem,True,0.99681,
point,p0,7.9870,11.792386,Solve_Succeeded,semiten,True,1.14170,
point,p0,7.9870,11.792386,Solve_Succeeded,bifemlh,True,1.05445,
point,p0,7.9870,11.792386,Solve_Succeeded,bifemsh,False,0.94288,
point,m2,9.9870,11.797841,Solve_Succeeded,semimem,True,1.01704,
point,m2,9.9870,11.797841,Solve_Succeeded,semiten,True,1.15309,
point,m2,9.9870,11.797841,Solve_Succeeded,bifemlh,True,1.07215,
point,m2,9.9870,11.797841,Solve_Succeeded,bifemsh,False,0.94270,
point,m4,11.9870,11.796764,Solve_Succeeded,semimem,True,1.02808,
point,m4,11.9870,11.796764,Solve_Succeeded,semiten,True,1.15908,
point,m4,11.9870,11.796764,Solve_Succeeded,bifemlh,True,1.08042,
point,m4,11.9870,11.796764,Solve_Succeeded,bifemsh,False,0.94227,
point,m6,13.9870,11.765964,Solve_Succeeded,semimem,True,1.04983,
point,m6,13.9870,11.765964,Solve_Succeeded,semiten,True,1.17130,
point,m6,13.9870,11.765964,Solve_Succeeded,bifemlh,True,1.09861,
point,m6,13.9870,11.765964,Solve_Succeeded,bifemsh,False,0.94138,
point,m8,15.9870,11.746657,Solve_Succeeded,semimem,True,1.06755,
point,m8,15.9870,11.746657,Solve_Succeeded,semiten,True,1.18116,
point,m8,15.9870,11.746657,Solve_Succeeded,bifemlh,True,1.11243,
point,m8,15.9870,11.746657,Solve_Succeeded,bifemsh,False,0.94176,
regression,,,,,semimem,True,,"slope=0.006785;R2=0.96137;LOO=[0.006260,0.007342];speedadj=0.006402"
regression,,,,,semiten,True,,"slope=0.003741;R2=0.95727;LOO=[0.003439,0.004031];speedadj=0.003509"
regression,,,,,bifemlh,True,,"slope=0.005379;R2=0.94975;LOO=[0.004935,0.005871];speedadj=0.005037"
regression,,,,,bifemsh,False,,"slope=-0.000254;R2=0.92746;LOO=[-0.000290,-0.000233];speedadj=-0.000272"
nominal_ref,,7.9870,11.834560,Solve_Succeeded,,,,N100 Nominal reference
