muscle,offset,anterior_tilt_deg,tPeak_pct_stride,peak_lMtilde
semimem,p6,1.9870,88.00,0.97302
semiten,p6,1.9870,85.50,1.12863
bifemlh,p6,1.9870,86.00,1.03778
bifemsh,p6,1.9870,2.82,0.94478
semimem,p4,3.9870,88.32,0.98379
semiten,p4,3.9870,85.82,1.13557
bifemlh,p4,3.9870,86.32,1.04652
bifemsh,p4,3.9870,2.82,0.94481
semimem,p2,5.9870,89.32,0.98552
semiten,p2,5.9870,86.58,1.13550
bifemlh,p2,5.9870,87.32,1.04609
bifemsh,p2,5.9870,2.58,0.94368
semimem,p0,7.9870,89.58,0.99681
semiten,p0,7.9870,87.08,1.14170
bifemlh,p0,7.9870,87.58,1.05445
bifemsh,p0,7.9870,2.32,0.94288
semimem,m2,9.9870,89.58,1.01704
semiten,m2,9.9870,87.32,1.15309
bifemlh,m2,9.9870,87.82,1.07215
bifemsh,m2,9.9870,2.32,0.94270
semimem,m4,11.9870,90.32,1.02808
semiten,m4,11.9870,87.82,1.15908
bifemlh,m4,11.9870,88.50,1.08042
bifemsh,m4,11.9870,2.32,0.94227
semimem,m6,13.9870,90.32,1.04983
semiten,m6,13.9870,87.58,1.17130
bifemlh,m6,13.9870,88.50,1.09861
bifemsh,m6,13.9870,2.08,0.94138
semimem,m8,15.9870,90.82,1.06755
semiten,m8,15.9870,88.32,1.18116
bifemlh,m8,15.9870,89.08,1.11243
bifemsh,m8,15.9870,2.32,0.94176
