source_file,experiment,condition,mesh_N,requested_offset_deg,return_status,strict,anterior_tilt_deg,speed_mps,final_inf_pr,adopted
pred_sprinting_data_16-August-2026__08-45-23___HamCompEQ_w0100.mat,HamCompEQ,HamCompEQ_w0100,50,,Solve_Succeeded,True,3.5610,11.73792,6.087e-09,
pred_sprinting_data_16-August-2026__10-00-48___HamCompEQ_w0500.mat,HamCompEQ,HamCompEQ_w0500,50,,Solve_Succeeded,True,-3.3271,11.55807,1.793e-08,
pred_sprinting_data_16-August-2026__10-50-11___HamCompEQ_w2000.mat,HamCompEQ,HamCompEQ_w2000,50,,Solve_Succeeded,True,-4.0956,11.44809,2.944e-08,
pred_sprinting_data_15-August-2026__20-35-47___HamEcc_w0000.mat,HamEcc,HamEcc_w0000,50,,Solve_Succeeded,True,7.6859,11.77337,1.172e-08,
pred_sprinting_data_15-August-2026__21-05-50___HamEcc_w0100.mat,HamEcc,HamEcc_w0100,50,,Solve_Succeeded,True,7.2858,11.77009,1.182e-08,
pred_sprinting_data_15-August-2026__21-52-25___HamEcc_w0500.mat,HamEcc,HamEcc_w0500,50,,Solve_Succeeded,True,6.9320,11.70407,5.089e-09,
pred_sprinting_data_15-August-2026__23-50-54___HamEcc_w2000.mat,HamEcc,HamEcc_w2000,50,,Solve_Succeeded,True,6.1821,11.64528,1.594e-08,
pred_sprinting_data_16-August-2026__02-16-25___HamEcc_w8000.mat,HamEcc,HamEcc_w8000,50,,Solve_Succeeded,True,7.4777,11.55258,1.239e-10,
pred_sprinting_data_23-July-2026__16-59-51___HamPareto_Nom_w0000.mat,HamPareto,HamPareto_Nom_w0000,50,,Solve_Succeeded,True,7.4622,11.77739,3.831e-08,
pred_sprinting_data_23-July-2026__17-25-32___HamPareto_Nom_w0050.mat,HamPareto,HamPareto_Nom_w0050,50,,Solve_Succeeded,True,5.3513,11.76670,4.974e-08,
pred_sprinting_data_23-July-2026__17-43-08___HamPareto_Nom_w0100.mat,HamPareto,HamPareto_Nom_w0100,50,,Solve_Succeeded,True,3.9703,11.74905,3.657e-09,
