muscle,metric,value_min_tilt_p6,value_max_tilt_m8,pct_change,abs_change
semimem,peak_lMtilde,0.97302,1.06755,+9.715,+0.09453
semimem,peak_Fce_N,3099.51854,3311.75408,+6.847,+212.23553
semimem,peak_Fpass_N,39.91678,75.16643,+88.308,+35.24964
semimem,peak_FT_N,3012.76097,3253.14643,+7.979,+240.38547
semimem,peak_leng_vel_mps,1.12849,1.20059,+6.389,+0.07210
semimem,neg_fiber_work_J,28.51272,37.97084,+33.172,+9.45812
semiten,peak_lMtilde,1.12863,1.18116,+4.654,+0.05253
semiten,peak_Fce_N,816.19027,789.81450,-3.232,-26.37577
semiten,peak_Fpass_N,35.99118,51.11519,+42.021,+15.12401
semiten,peak_FT_N,845.70373,830.52140,-1.795,-15.18233
semiten,peak_leng_vel_mps,1.42445,1.48093,+3.965,+0.05648
semiten,neg_fiber_work_J,12.03706,14.99256,+24.553,+2.95550
bifemlh,peak_lMtilde,1.03778,1.11243,+7.193,+0.07465
bifemlh,peak_Fce_N,2302.06071,2320.25196,+0.790,+18.19125
bifemlh,peak_Fpass_N,42.84890,70.58652,+64.734,+27.73762
bifemlh,peak_FT_N,2332.97918,2366.00529,+1.416,+33.02611
bifemlh,peak_leng_vel_mps,1.15686,1.17921,+1.932,+0.02235
bifemlh,neg_fiber_work_J,32.70770,38.03385,+16.284,+5.32615
bifemsh,peak_lMtilde,0.94478,0.94176,-0.319,-0.00302
bifemsh,peak_Fce_N,1719.07377,1682.97107,-2.100,-36.10269
bifemsh,peak_Fpass_N,20.61611,20.20287,-2.004,-0.41324
bifemsh,peak_FT_N,1575.58305,1544.60370,-1.966,-30.97935
bifemsh,peak_leng_vel_mps,0.80073,0.86957,+8.596,+0.06883
bifemsh,neg_fiber_work_J,32.48932,28.29249,-12.918,-4.19684
