family,scale,solver_status,biartic_mean_peak_lMtilde,peak_semimem,peak_semiten,peak_bifemlh,peak_bifemsh,achieved_speed_mps,achieved_anterior_tilt_deg,source_file
HamFascicle,0.70,Solve_Succeeded,1.68650,1.64582,1.73880,1.67487,1.29288,11.8742,6.742,pred_sprinting_data_23-July-2026__12-01-11___HamFascicle_m30.mat
HamFascicle,0.80,Solve_Succeeded,1.25495,1.12693,1.38090,1.25701,1.14256,11.6789,3.998,pred_sprinting_data_23-July-2026__12-25-05___HamFascicle_m20.mat
HamFascicle,0.90,Solve_Succeeded,1.14684,1.05187,1.24769,1.14096,1.03120,11.7611,6.040,pred_sprinting_data_23-July-2026__12-44-27___HamFascicle_m10.mat
HamFascicle,1.00,Solve_Succeeded,1.05514,0.98562,1.13433,1.04549,0.94427,11.7774,7.462,pred_sprinting_data_23-July-2026__11-39-49___HamFascicle_p00.mat
HamFascicle,1.10,Solve_Succeeded,0.97327,0.92063,1.03705,0.96212,0.87451,11.7449,7.698,pred_sprinting_data_23-July-2026__12-58-19___HamFascicle_p10.mat
HamFascicle,1.20,Solve_Succeeded,0.89754,0.85602,0.95134,0.88525,0.81750,11.6886,7.682,pred_sprinting_data_23-July-2026__13-19-36___HamFascicle_p20.mat
HamStrength,0.70,Solve_Succeeded,1.02675,0.95101,1.11256,1.01668,0.94320,11.4967,7.456,pred_sprinting_data_23-July-2026__13-39-20___HamStrength_m30.mat
HamStrength,0.80,Solve_Succeeded,1.03978,0.96687,1.12268,1.02978,0.94355,11.6064,7.529,pred_sprinting_data_23-July-2026__13-57-30___HamStrength_m20.mat
HamStrength,0.90,Solve_Succeeded,1.04826,0.97693,1.12922,1.03864,0.94396,11.6976,7.498,pred_sprinting_data_23-July-2026__14-27-40___HamStrength_m10.mat
HamStrength,1.10,Solve_Succeeded,1.06325,0.99504,1.14077,1.05395,0.94482,11.8470,7.260,pred_sprinting_data_23-July-2026__14-46-45___HamStrength_p10.mat
HamStrength,1.20,Solve_Succeeded,1.07235,1.00593,1.14832,1.06281,0.94562,11.9069,6.998,pred_sprinting_data_23-July-2026__15-02-22___HamStrength_p20.mat
HamTendon,0.90,Solve_Succeeded,1.32145,1.41060,1.22992,1.32382,0.99203,11.5738,4.331,pred_sprinting_data_19-August-2026__19-57-24___HamTendon_m10.mat
HamTendon,1.10,Maximum_CpuTime_Exceeded,0.74518,0.59866,0.95057,0.68631,0.89749,7.1171,-4.369,pred_sprinting_data_19-August-2026__21-27-52___HamTendon_p10.mat
