mesh,offset,anterior_tilt_deg,speed_mps,solver_status,muscle,peak_lMtilde
N50,p6,1.4626,11.745207,Solve_Succeeded,semimem,0.94908
N50,p6,1.4626,11.745207,Solve_Succeeded,semiten,1.11446
N50,p6,1.4626,11.745207,Solve_Succeeded,bifemlh,1.01637
N50,p6,1.4626,11.745207,Solve_Succeeded,bifemsh,0.94472
N50,p4,3.4626,11.760101,Solve_Succeeded,semimem,0.95802
N50,p4,3.4626,11.760101,Solve_Succeeded,semiten,1.11867
N50,p4,3.4626,11.760101,Solve_Succeeded,bifemlh,1.02257
N50,p4,3.4626,11.760101,Solve_Succeeded,bifemsh,0.94440
N50,p2,5.4626,11.772681,Solve_Succeeded,semimem,0.97160
N50,p2,5.4626,11.772681,Solve_Succeeded,semiten,1.12660
N50,p2,5.4626,11.772681,Solve_Succeeded,bifemlh,1.03428
N50,p2,5.4626,11.772681,Solve_Succeeded,bifemsh,0.94436
N50,p0,7.4626,11.775997,Solve_Succeeded,semimem,0.98534
N50,p0,7.4626,11.775997,Solve_Succeeded,semiten,1.13418
N50,p0,7.4626,11.775997,Solve_Succeeded,bifemlh,1.04524
N50,p0,7.4626,11.775997,Solve_Succeeded,bifemsh,0.94419
N50,m2,9.4626,11.773350,Solve_Succeeded,semimem,0.99981
N50,m2,9.4626,11.773350,Solve_Succeeded,semiten,1.14231
N50,m2,9.4626,11.773350,Solve_Succeeded,bifemlh,1.05660
N50,m2,9.4626,11.773350,Solve_Succeeded,bifemsh,0.94362
N50,m4,11.4626,11.760995,Solve_Succeeded,semimem,1.02711
N50,m4,11.4626,11.760995,Solve_Succeeded,semiten,1.15843
N50,m4,11.4626,11.760995,Solve_Succeeded,bifemlh,1.07935
N50,m4,11.4626,11.760995,Solve_Succeeded,bifemsh,0.94392
N50,m6,13.4626,11.742006,Solve_Succeeded,semimem,1.04213
N50,m6,13.4626,11.742006,Solve_Succeeded,semiten,1.16703
N50,m6,13.4626,11.742006,Solve_Succeeded,bifemlh,1.09181
N50,m6,13.4626,11.742006,Solve_Succeeded,bifemsh,0.94321
N50,m8,15.4626,11.715605,Solve_Succeeded,semimem,1.05766
N50,m8,15.4626,11.715605,Solve_Succeeded,semiten,1.17593
N50,m8,15.4626,11.715605,Solve_Succeeded,bifemlh,1.10302
N50,m8,15.4626,11.715605,Solve_Succeeded,bifemsh,0.94282
N100,p6,1.9870,11.788504,Solve_Succeeded,semimem,0.97302
N100,p6,1.9870,11.788504,Solve_Succeeded,semiten,1.12863
N100,p6,1.9870,11.788504,Solve_Succeeded,bifemlh,1.03778
N100,p6,1.9870,11.788504,Solve_Succeeded,bifemsh,0.94478
N100,p4,3.9870,11.761059,Solve_Succeeded,semimem,0.98379
N100,p4,3.9870,11.761059,Solve_Succeeded,semiten,1.13557
N100,p4,3.9870,11.761059,Solve_Succeeded,bifemlh,1.04652
N100,p4,3.9870,11.761059,Solve_Succeeded,bifemsh,0.94481
N100,p2,5.9870,11.787288,Solve_Succeeded,semimem,0.98552
N100,p2,5.9870,11.787288,Solve_Succeeded,semiten,1.13550
N100,p2,5.9870,11.787288,Solve_Succeeded,bifemlh,1.04609
N100,p2,5.9870,11.787288,Solve_Succeeded,bifemsh,0.94368
N100,p0,7.9870,11.792386,Solve_Succeeded,semimem,0.99681
N100,p0,7.9870,11.792386,Solve_Succeeded,semiten,1.14170
N100,p0,7.9870,11.792386,Solve_Succeeded,bifemlh,1.05445
N100,p0,7.9870,11.792386,Solve_Succeeded,bifemsh,0.94288
N100,m2,9.9870,11.797841,Solve_Succeeded,semimem,1.01704
N100,m2,9.9870,11.797841,Solve_Succeeded,semiten,1.15309
N100,m2,9.9870,11.797841,Solve_Succeeded,bifemlh,1.07215
N100,m2,9.9870,11.797841,Solve_Succeeded,bifemsh,0.94270
N100,m4,11.9870,11.796764,Solve_Succeeded,semimem,1.02808
N100,m4,11.9870,11.796764,Solve_Succeeded,semiten,1.15908
N100,m4,11.9870,11.796764,Solve_Succeeded,bifemlh,1.08042
N100,m4,11.9870,11.796764,Solve_Succeeded,bifemsh,0.94227
N100,m6,13.9870,11.765964,Solve_Succeeded,semimem,1.04983
N100,m6,13.9870,11.765964,Solve_Succeeded,semiten,1.17130
N100,m6,13.9870,11.765964,Solve_Succeeded,bifemlh,1.09861
N100,m6,13.9870,11.765964,Solve_Succeeded,bifemsh,0.94138
N100,m8,15.9870,11.746657,Solve_Succeeded,semimem,1.06755
N100,m8,15.9870,11.746657,Solve_Succeeded,semiten,1.18116
N100,m8,15.9870,11.746657,Solve_Succeeded,bifemlh,1.11243
N100,m8,15.9870,11.746657,Solve_Succeeded,bifemsh,0.94176
